Variable Name,Variable Label,Type,Codelist / Controlled Terms,Core,CDISC Notes
PARAM,Parameter,Char,,Req,"The description of the analysis parameter.  Examples include: “Supine Systolic Blood Pressure (mm Hg)”, “Log10 (Weight (kg))”, “Time to First Hypertension Event (Days)”, “Estimated Tumor Growth Rate”, etc.  PARAM should be sufficient to describe unambiguously the contents of AVAL and/or AVALC.  PARAM must include test, units (if appropriate), specimen type, location, position, and any other applicable qualifying information needed, any additional information such as transformation function, and indeed any text that is needed.  PARAM may be longer than 40 characters in length.
PARAM is often directly usable in Clinical Study Report displays.  Note that in the ADaMIG, “parameter” is a synonym of “analysis parameter.”"
PARAMCD,Parameter Code,Char,,Req,"The short name of the analysis parameter in PARAM.  Values of PARAMCD should follow SAS 5 variable naming conventions (8 characters or less; starts with a letter; contains only letters and digits).  There must be a one-to-one mapping with PARAM.
Examples: SYSBP, LWEIGHT, HYPEREVT."
PARAMN,Parameter (N),Num,,Perm,"Useful for ordering and programmatic manipulation.  There must be a one-to-one
mapping with PARAM.  Must be an integer."
PARAMTYP,Parameter Type,Char,(PARAMTY P),Perm,"Indicator of whether the parameter is derived as a function of one or more other
parameters.  This should not be confused with DTYPE which is relevant to derived AVAL and/or AVALC values."
PARCATy,Parameter Category y,Char,,Perm,"A categorization of PARAM.  For example, value of PARCAT1 might group the parameters having to do with a particular questionnaire, lab specimen type, or area of
investigation."
PARCATyN,"Parameter
Category y (N)",Num,,Perm,"A numeric representation of PARCATy.  This can be used for operations on PARCATy.
There should be a one to one relationship between PARCATy and PARCATyN."
AVAL,Analysis Value,Num,,"Req (at
least one)",Numeric analysis value described by PARAM.
AVALC,Analysis Value (C),Char,,,"Character analysis value described by PARAM.  AVALC can be a character string
mapping to AVAL, but if so there must be a one-to-one map between AVAL and AVALC within a given PARAM.  AVALC should not be used to categorize the values of AVAL."
AVALCATy,Analysis Category y,Char,,Perm,"A categorical representation of AVAL and/or AVALC.  Not necessarily a one-to-one mapping to AVAL and/or AVALC.  For example, if PARAM is “Headache Severity” and AVAL has values 0, 1, 2, or 3, AVALCAT1 can categorize AVAL into “None or Mild”
(for AVAL 1 or 2) and “Moderate or Severe” (for AVAL 3 or 4)"
BASE,Baseline Value,Num,,Cond,"Baseline analysis value.  Required if dataset supports analysis or review of baseline  value or functions of baseline value.  A baseline record may be derived (e.g., it may be an average) in which case DTYPE must also be populated.  If BASE is populated for a parameter, and BASE is non-null for a subject for that parameter, then there must be a
record flagged by ABLFL for that subject and parameter."
