Variable Name,,Variable Label,Type,Codelist/ Controlled Terms,Core,CDISC Notes
PARAM,,Parameter,Char,,Req,"The description of the analysis parameter. PARAM must include all descriptive and qualifying information relevant to the analysis purpose of the parameter.
Some examples are: ""Supine Systolic Blood Pressure (mm Hg)"", ""Log10 (Weight (kg))"", ""Time to First Hypertension Event (Days)"", and ""Estimated Tumor Growth Rate"". PARAM should be sufficient to describe unambiguously the contents of AVAL and/or AVALC.
Examples of qualifying information that might be relevant to analysis, and are therefore candidates for inclusion in PARAM, are units, specimen type, location, position, machine type, and transformation function. There is no need to include qualifiers that are not relevant to the analysis of PARAM. In contrast to SDTM -- TEST, no additional variable is needed to further qualify PARAM. PARAM is restricted to a maximum of 200 characters. If the value of PARAM will be used as a variable label in a transposed dataset,
then the producer may wish to limit the value of PARAM to 40 characters. Such limitation to 40 characters should not compromise the integrity of the description.
PARAM is often directly usable in Clinical Study Report displays. Note that in the ADaMIG, ""parameter"" is a synonym of ""analysis parameter.""
PARAM must be present and populated on every record in a BDS dataset."
PARAMCD,,Parameter Code,Char,,Req,"The short name of the analysis parameter in PARAM. The values of PARAMCD must be no more than 8 characters in length, start with a letter (not underscore), and be comprised only of letters (A-Z), underscore (_), and numerals (0-9). These constraints will allow for a BDS dataset to be transposed in such a way that the values of PARAMCD can be used as valid ADaM variable names per Section 3.1.1, General Variable Conventions. There must be a one-to-one relationship between PARAM and PARAMCD within a dataset.
PARAMCD must be present and populated on every record in a BDS dataset."
PARAMN,,Parameter (N),Num,,Perm,"Numeric representation of PARAM. Useful for ordering and programmatic manipulation. There must be a one-to-one relationship between PARAM and PARAMN within a dataset for all parameters where PARAMN is populated.
if PARAMN is populated on any record for a PARAM, it must be populated on every record for that PARAM."
PARCATy,,Parameter Category y,Char,,Perm,"A categorization of PARAM within a dataset. For example, values of PARCAT1 might group the parameters having to do with a particular questionnaire, lab specimen type, or area of investigation. Note that PARCATy is not a qualifier for PARAM. PARAM to PARCATy is a many-to-one mapping; any given PARAM may be associated with at most one level of PARCATy (e.g., one level of PARCAT1 and one level of PARCAT2)."
PARCATyN,,Parameter Category y (N),Num,,Perm,"Numeric representation of PARCATy. Useful for the ordering of values of PARCATy or for other purposes. There must be a one-to- one relationship between PARCATy and PARCATyN within a dataset.
PARCATyN cannot be present unless PARCATy is also present. When PARCATy and PARCATyN are present, then on a given record, either both must be populated or both must be null."
AVAL,,Analysis Value,Num,,Cond,"Numeric analysis value described by PARAM. On a given record, it is permissible for AVAL, AVALC, or both to be null. AVAL is required if AVALC is not present, since either AVAL or AVALC must be present in the dataset."
AVALC,,Analysis Value (C),Char,,Cond,"Character analysis value described by PARAM. AVALC can be a character string mapping to AVAL, but if so there must be a one-to- one relationship between AVAL and AVALC within a given PARAM. AVALC should not be used to categorize the values of AVAL. Within a given parameter, if there exists a row on which both AVALC and AVAL are populated, then there must be a one-to- one relationship between AVALC and AVAL on all rows on which both variables are populated. (In other words, there is no requirement that records with a null value in either AVAL or AVALC be included when determining whether the one-to-one relationship requirement is satisfied.) On a given record, it is permissible for AVAL, AVALC, or both to be null.
AVALC is required if AVAL is not present, since either AVAL or AVALC must be present in the dataset."
AVALCATy,,Analysis Value Category y,Char,,Perm,"A categorization of AVAL or AVALC within a parameter. Not necessarily a one-to-one mapping to AVAL and/or AVALC. For example, if PARAM is ""Headache Severity"" and AVAL has values 0, 1, 2, or 3, AVALCAT1 can categorize AVAL into ""None or Mild"" (for AVAL 0 or 1) and ""Moderate or Severe"" (for AVAL 2 or 3). AVALCATy is parameter variant."
AVALCAyN,,Analysis Value Category y (N),Num,,Perm,"Numeric representation of AVALCATy. Useful for ordering of values of AVALCATy or for other purposes. There must be a one- to-one relationship between AVALCAyN and AVALCATy within a parameter.
AVALCAyN cannot be present unless AVALCATy is also present. When AVALCATy and AVALCAyN are present, then on a given record, either both must be populated or both must be null."
BASE,,Baseline Value,Num,,Cond,"The subject's baseline analysis value for a parameter and baseline definition (i.e., BASETYPE) if present. BASE contains the value of AVAL copied from a record within the parameter on which ABLFL
= ""Y"". Required if dataset supports analysis or review of numeric baseline value or functions of numeric baseline value. If BASE is populated for a parameter, and BASE is non-null for a subject for that parameter, then there must be a record flagged by ABLFL for that subject and parameter. Note that a baseline record may be derived (e.g., it may be an average) in which case DTYPE must be populated on the baseline record."
