Variable Name,Variable Label,Type,Codelist/ Controlled Terms,Core,CDISC Notes
ATOXGR,Analysis Toxicity Grade,Char,,Perm,Toxicity grade of AVAL or AVALC for analysis; may be based on SDTM --TOXGR or an imputed or assigned value.
ATOXGRN,Analysis Toxicity Grade (N),Num,,Perm,"Numeric representation of ATOXGR. There must be a one-to-one relationship between ATOXGRN and ATOXGR within a parameter.
ATOXGRN cannot be present unless ATOXGR is also present. When ATOXGR and ATOXGRN are present, then on a given record, either both must be populated or both must be null."
BTOXGR,Baseline Toxicity Grade,Char,,Perm,ATOXGR of the baseline record identified by ABLFL.
BTOXGRN,Baseline Toxicity Grade (N),Num,,Perm,"Numeric representation of BTOXGR. There must be a one-to-one relationship between BTOXGRN and BTOXGR within a parameter.
BTOXGRN cannot be present unless BTOXGR is also present. When BTOXGR and BTOXGRN are present, then on a given record, either both must be populated or both must be null."
ANRIND,Analysis Reference Range Indicator,Char,,Perm,Indicates where AVAL or AVALC falls with respect to the normal reference range for analysis; may be based on SDTM --NRIND or an imputed or assigned value.
BNRIND,Baseline Reference Range Indicator,Char,,Perm,ANRIND of the baseline record identified by ABLFL.
ANRLO,Analysis Normal Range Lower Limit,Num,,Perm,Normal range lower limit for analysis; may be based on SDTM --NRLO or an imputed or assigned value.
ANRLOC,Analysis Normal Range Lower Limit (C),Char,,Perm,"Character analysis normal range lower limit. ANRLOC can be a character string mapping to ANRLO, but if so there must be a one-to-one
relationship between ANRLO and ANRLOC
within a given PARAM. ANRLOC should not be used to categorize the values of ANRLO.
Within a given parameter, if there exists a row on which both ANRLOC and ANRLO are populated, then there must be a one-to-one relationship between ANRLOC and ANRLO on all rows on which both variables are populated. (In other words, there is no requirement that records with a null value in either ANRLO or ANRLOC be included when determining whether the one-to-one relationship requirement is satisfied.) On a given record, it is permissible for ANRLO, ANRLOC, or both to be null."
ANRHI,Analysis Normal Range Upper Limit,Num,,Perm,Normal range upper limit for analysis; may be based on SDTM --NRHI or an imputed or assigned value.
ANRHIC,Analysis Normal Range Upper Limit (C),Char,,Perm,"Character analysis normal range upper limit. ANRHIC can be a character string mapping to ANRHI, but if so there must be a one-to-one
relationship between ANRHI and ANRHIC within
a given PARAM. ANRHIC should not be used to categorize the values of ANRHI. Within a given parameter, if there exists a row on which both ANRHIC and ANRHI are populated, then there must be a one-to-one relationship between ANRHIC and ANRHI on all rows on which both variables are populated. (In other words, there is no requirement that records with a null value in either ANRHI or ANRHIC be included when determining whether the one-to-one relationship requirement is satisfied.) On a given record, it is permissible for ANRHI, ANRHIC, or both to be null."
