Variable Name,Variable Label,Type,"Controlled Terms, Codelist or Format",Role,CDISC Notes,Core
STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
DOMAIN,Domain Abbreviation,Char,AE,Identifier,Two-character abbreviation for the domain.,Req
USUBJID,Unique Subject Identifier,Char,,Identifier,"Identifier used to uniquely identify a subject across all studies for all applications
or submissions involving the product.",Req
AESEQ,Sequence Number,Num,,Identifier,"Sequence Number given to ensure uniqueness of subject records within a
domain. May be any valid number.",Req
AEGRPID,Group ID,Char,,Identifier,Used to tie together a block of related records in a single domain for a subject.,Perm
AEREFID,Reference ID,Char,,Identifier,Internal or external identifier such as a serial number on an SAE reporting form.,Perm
AESPID,Sponsor-Defined Identifier,Char,,Identifier,Sponsor-defined identifier. It may be pre-printed on the CRF as an explicit line identifier or defined in the sponsor’s operational database. Example: Line number on an Adverse Events page.,Perm
AETERM,"Reported Term for the
Adverse Event",Char,,Topic,Verbatim name of the event.,Req
AEMODIFY,Modified Reported Term,Char,,"Synonym
Qualifier","If AETERM is modified to facilitate coding, then AEMODIFY will contain the
modified text.",Perm
AELLT,Lowest Level Term,Char,MedDRA,"Variable
Qualifier",Dictionary-derived text description of the Lowest Level Term.,Exp
AELLTCD,Lowest Level Term Code,Num,MedDRA,"Variable
Qualifier",Dictionary-derived code for the Lowest Level Term.,Exp
AEDECOD,Dictionary-Derived Term,Char,MedDRA,Synonym Qualifier,"Dictionary-derived text description of AETERM or AEMODIFY. Equivalent to the Preferred Term (PT in MedDRA). The sponsor is expected to provide the dictionary name and version used to map the terms utilizing the define.xml
external codelist attributes.",Req
AEPTCD,Preferred Term Code,Num,MedDRA,"Variable
Qualifier",Dictionary-derived code for the Preferred Term.,Exp
AEHLT,High Level Term,Char,MedDRA,Variable Qualifier,Dictionary-derived text description of the High Level Term for the primary System Organ Class.,Exp
AEHLTCD,High Level Term Code,Num,MedDRA,"Variable
Qualifier","Dictionary-derived code for the High Level Term for the primary System Organ
Class.",Exp
AEHLGT,High Level Group Term,Char,MedDRA,"Variable
Qualifier","Dictionary-derived text description of the High Level Group Term for the
primary System Organ Class.",Exp
AEHLGTCD,High Level Group Term Code,Num,MedDRA,Variable Qualifier,Dictionary-derived code for the High Level Group Term for the primary System Organ Class.,Exp
AECAT,Category for Adverse Event,Char,*,"Grouping
Qualifier","Used to define a category of related records. Example: BLEEDING,
NEUROPSYCHIATRIC.",Perm
AESCAT,"Subcategory for Adverse
Event",Char,*,"Grouping
Qualifier",A further categorization of adverse event. Example: NEUROLOGIC.,Perm
AEPRESP,Pre-Specified Adverse Event,Char,(NY),Variable Qualifier,"A value of “Y” indicates that this adverse event was pre-specified on the CRF. Values are null for spontaneously reported events (i.e., those collected as free- text verbatim terms)",Perm
AEBODSYS,Body System or Organ Class,Char,*,Record Qualifier,"Dictionary derived. Body system or organ class used by the sponsor from the coding dictionary (e.g., MedDRA). When using a multi-axial dictionary such as
MedDRA, this should contain the SOC used for the sponsor’s analyses and summary tables which may not necessarily be the primary SOC.",Exp
