Variable Name,Variable Label,Type,"Controlled Terms, Codelist or Format",Role,CDISC Notes,Core
STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
DOMAIN,Domain Abbreviation,Char,MB,Identifier,Two-character abbreviation for the domain.,Req
USUBJID,Unique Subject Identifier,Char,,Identifier,"Identifier used to uniquely identify a subject across all studies for all applications
or submissions involving the product.",Req
MBSEQ,Sequence Number,Num,,Identifier,"Sequence Number given to ensure uniqueness of subject records within a domain.
May be any valid number.",Req
MBGRPID,Group ID,Char,,Identifier,"Used to tie together a block of related records in a single domain to support
relationships within the domain and between domains. In MB, used to link to findings about organisms which are stored in MS.",Exp
MBREFID,Reference ID,Char,,Identifier,Internal or external specimen identifier. Example: Specimen ID,Perm
MBSPID,Sponsor-Defined Identifier,Char,,Identifier,"Sponsor-defined reference number. Perhaps pre-printed on the CRF as an explicit line identifier or defined in the sponsor's operational database. Example: ORGANISM IDENTIFIER. For organism identification, MBSPID would remain the same each
time the same organism is identified in a new specimen.",Perm
MBTESTCD,Microbiology Test or Finding Short Name,Char,*,Topic,"Short name of the measurement, test, or finding described in MBTEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format.
The value in MBTESTCD cannot be longer than 8 characters, nor can it start with a number (e.g., “1TEST”). MBTESTCD cannot contain characters other than letters, numbers, or underscores. Examples for GRAM STAIN findings: GMNROD, GMNCOC, GMSQEPCE, GMPMNLOW. Examples for CULTURE PLATE
findings: ORGANISM.",Req
MBTEST,Microbiology Test or Finding Name,Char,*,Synonym Qualifier,"Verbatim name of the test or examination used to obtain the measurement or finding. The value in MBTEST cannot be longer than 40 characters. Examples: GRAM NEGATIVE RODS, GRAM NEGATIVE COCCI, SQUAMOUS
EPITHELIAL CELLS, PMN PER FIELD LOW, ORGANISM PRESENT",Req
MBCAT,"Category for Microbiology
Finding",Char,*,"Grouping
Qualifier",Used to define a category of related records.,Perm
MBSCAT,"Subcategory for Microbiology
Finding",Char,*,"Grouping
Qualifier",Used to define a further categorization of MBCAT.,Perm
MBORRES,Result or Finding in Original Units,Char,,Result Qualifier,"Result of the Microbiology measurement or finding as originally received or collected. Examples for GRAM STAIN findings: +3 MODERATE, +2 FEW,
<10. Examples for CULTURE PLATE (ORGANISM) findings: KLEBSIELLA PNEUMONIAE, STREPTOCOCCUS PNEUMONIAE.",Exp
MBORRESU,Original Units,Char,(UNIT),"Variable
Qualifier",Original unit for MBORRES. Example: mcg/mL,Perm
MBSTRESC,Character Result/Finding in Std Format,Char,,Result Qualifier,"Contains the result value for all findings, copied or derived from MBORRES in a standard format or standard units. MBSTRESC should store all results or findings in character format; if results are numeric, they should also be stored in numeric  format in MBSTRESN. For example, if a test has results “+3 MODERATE”, “MOD”, and “MODERATE” in MBORRES and these results effectively have the
same meaning, they could be represented in standard format in MBSTRESC as “MODERATE”.",Exp
