Variable Name,Variable Label,Type,"Controlled Terms, Codelist or Format",Role,CDISC Notes,Core
STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
DOMAIN,Domain Abbreviation,Char,PC,Identifier,Two-character abbreviation for the domain.,Req
USUBJID,Unique Subject Identifier,Char,,Identifier,Unique subject identifier within the submission.,Req
PCSEQ,Sequence Number,Num,,Identifier,Sequence Number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
PCGRPID,Group ID,Char,,Identifier,"Used to tie together a block of related records in a single domain to support
relationships within the domain and between domains.",Perm
PCREFID,Reference ID,Char,,Identifier,Internal or external specimen identifier. Example: Specimen ID.,Perm
PCSPID,Sponsor-Defined Identifier,Char,,Identifier,Sponsor-defined reference number.,Perm
PCTESTCD,Pharmacokinetic Test Short Name,Char,,Topic,"Short name of the analyte or specimen characteristic. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in PCTESTCD cannot be longer than 8 characters, nor can it start with a number (e.g., “1TEST”). PCTESTCD cannot contain characters other than letters, numbers, or
underscores. Examples: ASA, VOL, SPG.",Req
PCTEST,Pharmacokinetic Test Name,Char,,Synonym Qualifier,"Name of the analyte or specimen characteristic. Note any test normally performed by
a clinical laboratory is considered a lab test. The value in PCTEST cannot be longer than 40 characters. Examples: Acetylsalicylic Acid, Volume, Specific Gravity.",Req
PCCAT,Test Category,Char,*,"Grouping
Qualifier","Used to define a category of related records. Examples: ANALYTE, SPECIMEN
PROPERTY.",Perm
PCSCAT,Test Subcategory,Char,*,"Grouping
Qualifier",A further categorization of a test category.,Perm
PCORRES,"Result or Finding in
Original Units",Char,,"Result
Qualifier",Result of the measurement or finding as originally received or collected.,Exp
PCORRESU,Original Units,Char,(UNIT),"Variable
Qualifier","Original units in which the data were collected. The unit for PCORRES. Example:
mg/L.",Exp
PCSTRESC,Character Result/Finding in Standard Format,Char,,Result Qualifier,"Contains the result value for all findings, copied or derived from PCORRES in a standard format or standard units. PCSTRESC should store all results or findings in character format; if results are numeric, they should also be stored in numeric format in PCSTRESN. For example, if a test has results “NONE”, “NEG”, and “NEGATIVE” in PCORRES and these results effectively have the same meaning, they could be represented in standard format in PCSTRESC as “NEGATIVE”. For
other examples, see general assumptions.",Exp
PCSTRESN,Numeric Result/Finding in Standard Units,Num,,Result Qualifier,Used for continuous or numeric results or findings in standard format; copied in numeric format from PCSTRESC. PCSTRESN should store all numeric test results or findings.,Exp
PCSTRESU,Standard Units,Char,(UNIT),Variable Qualifier,Standardized unit used for PCSTRESC and PCSTRESN.,Exp
PCSTAT,Completion Status,Char,(ND),"Record
Qualifier","Used to indicate a result was not obtained. Should be null if a result exists in
PCORRES.",Perm
PCREASND,Reason Test Not Done,Char,,"Record
Qualifier","Describes why a result was not obtained such as SPECIMEN LOST. Used in
conjunction with PCSTAT when value is NOT DONE.",Perm
