Variable Name,Variable Label,Type,"Controlled Terms, Codelist or Format",Role,CDISC Notes,Core
STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
DOMAIN,Domain Abbreviation,Char,SU,Identifier,Two-character abbreviation for the domain.,Req
USUBJID,Unique Subject Identifier,Char,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
SUSEQ,Sequence Number,Num,,Identifier,Sequence Number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
SUGRPID,Group ID,Char,,Identifier,Used to tie together a block of related records in a single domain for a subject.,Perm
SUSPID,Sponsor-Defined Identifier,Char,,Identifier,"Sponsor-defined reference number. Perhaps pre-printed on the CRF as an explicit line identifier or defined in the sponsor’s operational database. Example: Line
number on a Tobacco & Alcohol use CRF page.",Perm
SUTRT,Reported Name of Substance,Char,,Topic,"Substance name. Examples: Cigarettes, Coffee.",Req
SUMODIFY,Modified Substance Name,Char,,Synonym Qualifier,"If SUTRT is modified, then the modified text is placed here.",Perm
SUDECOD,Standardized Substance Name,Char,*,Synonym Qualifier,"Standardized or dictionary-derived text description of SUTRT or SUMODIFY if the sponsor chooses to code the substance use. The sponsor is expected to provide
the dictionary name and version used to map the terms utilizing the define.xml external codelist attributes.",Perm
SUCAT,Category for Substance Use,Char,*,Grouping Qualifier,"Used to define a category of related records. Examples: TOBACCO, ALCOHOL, or CAFFEINE.",Perm
SUSCAT,Subcategory for Substance Use,Char,*,Grouping Qualifier,"A further categorization of substance use. Examples: CIGARS, CIGARETTES, BEER, WINE",Perm
SUPRESP,SU Pre-Specified,Char,(NY),"Variable
Qualifier","Used to indicate whether (Y/null) information about the use of a specific
substance was solicited on the CRF.",Perm
SUOCCUR,SU Occurrence,Char,(NY),Record Qualifier,"When the use of specific substances is solicited, SUOCCUR is used to indicate whether or not (Y/N) a particular pre-specified substance was used. Values are
null for substances not specifically solicited.",Perm
SUSTAT,Completion Status,Char,(ND),Record Qualifier,"When the use of pre-specified substances is solicited, the completion status indicates that there was no response to the question about the pre-specified substance. When there is no pre-specified list on the CRF, then the completion status indicates that
substance use was not assessed for the subject.",Perm
