"Variable
Name ",Variable Label ,Type ,Description
STUDYID ,Study Identifier ,Char ,Unique identifier for a study.
DOMAIN ,"Domain
Abbreviation",Char ,Two-character abbreviation for the domain which must be SE.
USUBJID ,"Unique Subject
Identifier",Char ,"Identifier used to uniquely identify a subject across all studies for all
applications or submissions involving the product."
SESEQ ,Sequence Number ,Num ,"Sequence number to ensure uniqueness within dataset. Should be assigned to
be in a consistent chronological order."
Topic Variable,,,
ETCD ,Element Code ,Char ,"ETCD (the companion to ELEMENT) is limited to 8 characters and does not
have special character restrictions. These values should be short for ease of use
in programming, but it is not expected that ETCD will need to serve as a
variable name."
Qualifier Variables,,,
ELEMENT ,"Description of
Element",Char ,"The name of the Element. If ETCD has a value of “UNPLAN” then
ELEMENT should be null."
Timing Variables,,,
SESTDTC ,"Start Date/Time of
Element",Char ,"Start date/time for an Element for each subject, represented in ISO 8601
character format."
SEENDTC ,"End Date/Time of
Element",Char ,"End date/time of an Element for each subject, represented in ISO 8601
character format."
TAETORD ,"Planned Order of
Element within
Arm",Num ,"Number that gives the planned order of the Element within the subject's
assigned ARM."
EPOCH ,Epoch ,Char ,"Epoch associated with the Element in the planned sequence of Elements for the
ARM to which the subject was assigned"
Qualifier Variables,,,
EUPDES ,"Description of
Unplanned Element",Char ,"Description of what happened to the subject during an unplanned Element.
Used only if ETCD has the value of “UNPLAN”."
