Variable Name,Variable Label,Type,Format,Role,Description
STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.
DOMAIN,Domain Abbreviation,Char,,Identifier,"2-character abbreviation for the domain, which must be ""CO""."
RDOMAIN,Related Domain Abbreviation,Char,,Record Qualifier,Domain Abbreviation of the parent record(s). Null for records collected on general comments or additional information CRF page.
USUBJID,Unique Subject Identifier,Char,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.
POOLID,Pool Identifier,Char,,Identifier,Used to identify a result for pooled subjects that is not assignable to any one individual within the pool.
COSEQ,Sequence Number,Num,,Identifier,Sequence number to ensure uniqueness within the dataset. Should be assigned to be in a consistent chronological order.
IDVAR,Identifying Variable,Char,,Record Qualifier,Identifying variable in the parent dataset that identifies the record(s) to which the comment applies. Examples: AESEQ or CMGRPID. Used only when individual comments are related to domain records. Null for comments collected on separate CRFs.
IDVARVAL,Identifying Variable Value,Char,,Record Qualifier,Value of identifying variable of the parent record(s). Null for comments collected on separate CRFs.
COREF,Comment Reference,Char,,Record Qualifier,"Sponsor-defined reference associated with the comment. May be the CRF page number (e.g., 650), or a module name (e.g., ""DEMOG""), or a combination of information that identifies the reference (e.g., ""650-VITALS-VISIT 2"")."
COVAL,Comment,Char,,Topic,The text of the comment. Text over 200 characters can be added to additional columns COVAL1-COVALn.
COEVAL,Evaluator,Char,,Record Qualifier,"Used to describe the originator of the comment. Example: ""CENTRAL REVIEWER""."
COEVALID,Evaluator Identifier,Char,,Variable Qualifier of COEVAL,"Used to distinguish multiple evaluators with the same role recorded in --EVAL. Examples: ""RADIOLOGIST1"", ""RADIOLOGIST2""."
CODTC,Date/Time of Comment,Char,ISO 8601,Timing,"Date or date and time of comment on dedicated comment form, if collected. Should be null if this is a child record of another domain or if comment date was not collected."
CODY,Study Day of Comment,Num,,Timing,"Actual study day of the comment, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain."
