Variable Name,Variable Label,Type,Role,Description
Topic Variable,,,,
--TESTCD,"Short Name of Measurement, Test, or Exam",Char,Topic,"Short character value for --TEST used as a column name when converting a dataset from a vertical format to a horizontal format. The short value can be up to 8 characters. Examples: ""PLAT"", ""SYSBP"", ""RRMIN"", ""EYEEXAM""."
Qualifier Variables,,,,
--TEST,"Name of Measurement, Test, or Exam",Char,Synonym Qualifier of --TESTCD,"Long name For --TESTCD. Examples: Platelets, Systolic Blood Pressure, Summary (Min) RR Duration, Eye Examination."
--MODIFY,Modified Term,Char,Synonym Qualifier of --ORRES,"If the value of --ORRES is modified for coding purposes, then the modified text is placed here."
--TSTDTL,"Measurement, Test, or Examination Detail",Char,Variable Qualifier of --TESTCD and --TEST,"Further description of --TESTCD and --TEST. Example: ""The percentage of cells with +1 intensity of staining"" when MITEST = ""Thyroid Transcription Factor 1""."
--CAT,Category,Char,Grouping Qualifier,"Used to define a category of topic-variable values. Examples: ""HEMATOLOGY"", ""URINALYSIS"", ""CHEMISTRY"", ""HAMD 17"", ""SF36 V2.0 ACUTE"", ""EGFR MUTATION ANALYSIS""."
--SCAT,Subcategory,Char,Grouping Qualifier,"Used to define a further categorization of --CAT values. Example: ""WBC DIFFERENTIAL""."
--POS,Position of Subject During Observation,Char,Record Qualifier,"Position of the subject during a measurement or examination. Examples: ""SUPINE"", ""STANDING"", ""SITTING""."
--BODSYS,Body System or Organ Class,Char,Record Qualifier,Body System or Organ Class that is involved for a finding from the standard hierarchy for dictionary-coded results. Example: MedDRA SOC.
--ORRES,Result or Finding in Original Units,Char,Result Qualifier,"Result of the measurement or finding as originally received or collected. Examples: ""120"", ""<1"", ""POS""."
--ORRESU,Original Units,Char,Variable Qualifier of --ORRES and --ORREF,"Unit for --ORRES and --ORREF. Examples: ""in"", ""LB"", ""kg/L""."
--ORNRLO,Normal Range Lower Limit-Original Units,Char,Variable Qualifier of --ORRES,Lower end of normal range or reference range for results stored in --ORRES.
--ORNRHI,Normal Range Upper Limit-Original Units,Char,Variable Qualifier of --ORRES,Upper end of normal range or reference range for results stored in --ORRES.
--ORREF,Reference Result in Original Units,Char,Variable Qualifier of --ORRES,"Reference value for the result or finding as originally received or collected. --ORREF uses the same units as --ORRES, if applicable. Examples: value from predicted normal value in spirometry tests."
--STRESC,Result or Finding in Standard Format,Char,Result Qualifier,"Contains the result value for all findings, copied or derived from --ORRES in a standard format or in standard units. --STRESC should store all results or findings in character format; if results are numeric, they should also be stored in numeric format in --STRESN. For example, if various tests have results ""NONE"", ""NEG"", and ""NEGATIVE"" in --ORRES and these results effectively have the same meaning, they could be represented in standard format in --STRESC as ""NEGATIVE""."
--STRESN,Numeric Result/Finding in Standard Units,Num,Result Qualifier,Used for continuous or numeric results or findings in standard format; copied in numeric format from --STRESC. --STRESN should store all numeric test results or findings.
--STRESU,Standard Units,Char,Variable Qualifier of --STRESC and --STRESN and --STREFC and --STREFN,"Standardized units used for --STRESC, --STRESN, --STREFC, and --STREFN. Example: ""mol/L""."
--STNRLO,Normal Range Lower Limit-Standard Units,Num,Variable Qualifier of --STRESC and --STRESN,"Lower end of normal range or reference range for standardized results (e.g., --STRESC, --STRESN) represented in standardized units (--STRESU)."
--STNRHI,Normal Range Upper Limit-Standard Units,Num,Variable Qualifier of --STRESC and --STRESN,"Upper end of normal range or reference range for standardized results (e.g., --STRESC, --STRESN) represented in standardized units (--STRESU)."
--STNRC,Normal Range for Character Results,Char,Variable Qualifier of --STRESC,"Normal range or reference range for results stored in --STRESC that are character in ordinal or categorical scale. Example: ""Negative to Trace""."
--STREFC,Reference Result in Standard Format,Char,Variable Qualifier of --STRESC,Reference value for the result or finding copied or derived from --ORREF in a standard format.
--STREFN,Numeric Reference Result in Std Units,Num,Variable Qualifier of --STRESN,"Reference value for continuous or numeric results or findings in standard format or in standard units. --STREFN uses the same units as --STRESN, if applicable."
--NRIND,Normal/Reference Range Indicator,Char,Variable Qualifier of --ORRES,"Used to indicate the value is outside the normal range or reference range. May be defined by --ORNRLO and --ORNRHI or other objective criteria. Examples: ""Y"", ""N""; ""HIGH"", ""LOW""; ""NORMAL"", ""ABNORMAL""."
--RESCAT,Result Category,Char,Variable Qualifier of --ORRES,"Used to categorize the result of a finding. Example: ""MALIGNANT"" or ""BENIGN"" for tumor findings."
--CHRON,Chronicity of Finding,Char,Variable Qualifier of --STRESC,"Characterization of the duration of a biological process resulting in a particular finding. Examples: ""ACUTE"", ""CHRONIC"", ""SUBACUTE""."
--DISTR,Distribution Pattern of Finding,Char,Variable Qualifier of --STRESC,"Description of the distribution pattern of a finding within the examined area. Examples: ""FOCAL"", ""MULTIFOCAL"", ""DIFFUSE"", ""FOCAL"", ""MULTIFOCAL""."
--RESLOC,Result Location of Finding,Char,Result Qualifier,Location where the result was observed (as opposed to the location specified for examination). This location may have a higher degree of specificity than the location specified for examination. Not to be used with human clinical trials.
--STAT,Completion Status,Char,Record Qualifier,"Used to indicate that a question was not asked or a test was not done, or a test was attempted but did not generate a result. Should be null or have a value of ""NOT DONE""."
--REASND,Reason Not Done,Char,Record Qualifier,"Reason not done. Used in conjunction with --STAT when value is ""NOT DONE""."
--XFN,External File Path,Char,Record Qualifier,"Filename for an external file, such as one for an ECG waveform or a medical image."
--NAM,Laboratory/Vendor Name,Char,Record Qualifier,"Name or identifier of the vendor (e.g., laboratory) that provided the test results."
--LOINC,LOINC Code,Char,Synonym Qualifier of --TESTCD,Logical Observation Identifiers Names and Codes (LOINC) code for the topic variable such as a lab test.
--SPEC,Specimen Material Type,Char,Record Qualifier,"Defines the type of specimen used for a measurement. Examples: ""SERUM"", ""PLASMA"", ""URINE"", ""DNA"", ""RNA""."
--ANTREG,Anatomical Region,Char,Variable Qualifier of --SPEC,"Defines the specific anatomical or biological region of a tissue, organ specimen or the region from which the specimen is obtained, as defined in the protocol, such as a section or part of what is described in the --SPEC variable. Examples: ""CORTEX"", ""MEDULLA"", ""MUCOSA""."
--SPCCND,Specimen Condition,Char,Record Qualifier,"Defines the condition of the specimen. Example: ""CLOUDY""."
--SPCUFL,Specimen Usability for the Test,Char,Record Qualifier,"Describes the usability of the specimen for the test. The value will be ""N"" if the specimen is not usable, and null if the specimen is usable."
