Variable Name,Variable Label,Type,Format,Role,Description
STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.
DOMAIN,Domain,Char,,Identifier,"2-character abbreviation for the domain, which must be ""SM""."
USUBJID,Unique Subject Identifier,Char,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.
SMSEQ,Sequence Number,Num,,Identifier,Sequence Number given to ensure uniqueness of subject records. Should be assigned to be consistent with chronological order.
MIDS,Disease Milestone Instance Name,Char,,Topic,"Name of the specific Disease Milestone. For types of Disease Milestones that can occur multiple times, the name will end with a sequence number. Example: ""HYPO1""."
MIDSTYPE,Disease Milestone Type,Char,,Record Qualifier,"The type of Disease Milestone. Example:""HYPOGLYCEMIC EVENT""."
SMSTDTC,Start Date/Time of Milestone,Char,ISO 8601,Timing,"Start date or start date and time of Milestone Instance, if Milestone is an intervention or event, or date of Milestone if Milestone is a finding."
SMENDTC,End Date/Time of Milestone,Char,ISO 8601,Timing,End date/time of Disease Milestone Instance.
SMSTDY,Study Day of Start of Milestone,Num,,Timing,"Study day of start of Disease Milestone Instance, relative to the sponsor-defined RFSTDTC."
SMENDY,Study Day of End of Milestone,Num,,Timing,"Study day of end of Disease Milestone Instance, relative to the sponsor-defined RFSTDTC."
