Variable Name ,Variable Label ,Type,"Controlled
Terms, Codelist
or Format",Role,CDISC Notes,Core
STUDYID ,Study Identifier ,Char ,,Identifier ,Unique identifier for a study.,Req
DOMAIN ,Domain Abbreviation ,Char ,CM,Identifier ,Two-character abbreviation for the domain.,Req
USUBJID ,Unique Subject Identifier ,Char ,,Identifier ,"Identifier used to uniquely identify a subject across all studies for all applications
or submissions involving the product.",Req
CMSEQ ,Sequence Number ,Num ,,Identifier ,"Sequence Number given to ensure uniqueness of subject records within a
domain. May be any valid number.",Req
CMGRPID ,Group ID ,Char ,,Identifier ,Used to tie together a block of related records in a single domain for a subject.,Perm
CMSPID ,Sponsor-Defined Identifier ,Char ,,Identifier ,"Sponsor-defined reference number. Examples: a number pre-printed on the CRF as an
explicit line identifier or record identifier defined in the sponsor’s operational database.
Example: line number on a concomitant medication page.",Perm
CMTRT ,"Reported Name of Drug,
Med, or Therapy",Char ,,Topic ,Verbatim medication name that is either pre-printed or collected on a CRF.,Req
CMMODIFY ,Modified Reported Name ,Char ,,"Synonym
Qualifier","If CMTRT is modified to facilitate coding, then CMMODIFY will contain the
modified text.",Perm
CMDECOD ,"Standardized Medication
Name",Char ,*,"Synonym
Qualifier","Standardized or dictionary-derived text description of CMTRT or CMMODIFY.
Equivalent to the generic medication name in WHO Drug. The sponsor is expected
to provide the dictionary name and version used to map the terms utilizing the
define.xml external codelist attributes. If an intervention term does not have a
decode value in the dictionary then CMDECOD will be left blank.",Perm
CMCAT ,Category for Medication,Char ,*,"Grouping
Qualifier","Used to define a category of medications/treatments. Examples: PRIOR,
CONCOMITANT, ANTI-CANCER MEDICATION, or GENERAL CONMED",Perm
CMSCAT ,Subcategory for Medication,Char ,*,"Grouping
Qualifier","A further categorization of medications/ treatment. Examples: CHEMOTHERAPY,
HORMONAL THERAPY, ALTERNATIVE THERAPY.",Perm
CMPRESP ,CM Pre-Specified,Char ,(NY),"Variable
Qualifier","Used to indicate whether (Y/null) information about the use of a specific
medication was solicited on the CRF.",Perm
CMOCCUR ,CM Occurrence,Char ,(NY),"Record
Qualifier","When the use of specific medications is solicited, CMOCCUR is used to indicat
whether or not (Y/N) use of the medication occurred. Values are null for
medications not specifically solicited.",Perm
CMSTAT ,Completion Status,Char ,(ND),"Record
Qualifier","Used to indicate that a question about a pre-specified medication was not
answered. Should be null or have a value of NOT DONE.",Perm
CMREASND ,"Reason Medication Not
Collected",Char,,"Record
Qualifier","Describes the reason concomitant medication was not collected. Used in
conjunction with CMSTAT when value is NOT DONE.",Perm
CMINDC ,Indication,Char,,"Record
Qualifier","Denotes why a medication was taken or administered. Examples: NAUSEA,
HYPERTENSION.",Perm
CMCLAS ,Medication Class,Char ,*,"Variable
Qualifier","Drug class. May be obtained from coding. When coding to a single class,
populate with class value. If using a dictionary and coding to multiple classes,
then follow Section 4: 4.1.2.8.3, Multiple Values For A Non-Result Qualifier
Variable or omit CMCLAS.",Perm
