Variable Name,Variable Label,Type,"Controlled Terms, Codelist or
Format",Role,CDISC Notes,Core
STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.,Req
DOMAIN,Domain Abbreviation,Char,PR,Identifier,Two-character abbreviation for the domain.,Req
USUBJID,Unique Subject Identifier,Char,,Identifier,"Identifier used to uniquely identify a subject across all studies for all
applications or submissions involving the product.",Req
PRSEQ,Sequence Number,Num,,Identifier,"Sequence number to ensure uniqueness of records within a dataset for a
subject. Should be assigned to be in a consistent chronological order.",Req
PRGRPID,Group ID,Char,,Identifier,Used to link together a block of related records within a subject in a domain.,Perm
PRSPID,"Sponsor-Defined
Identifier",Char,,Identifier,"Sponsor-defined identifier. Example: pre-printed line identifier on a
CRF or record identifier defined in the sponsor’s operational database.",Perm
PRLNKID,Link ID,Char,,Identifier,Used to facilitate identification of relationships between records.,Perm
PRLNKGRP,Link Group ID,Char,,Identifier,Used to facilitate identification of relationships between records.,
PRTRT,"Reported Name of
Procedure",Char,,Topic,"Name of procedure performed, either pre-printed or collected on a CRF.",Req
PRDECOD,Standardized Procedure Name,Char,*,Synonym Qualifier,"Standardized or dictionary-derived name of PRTRT. The sponsor is expected to provide the dictionary name and version used to map the terms in the define.xml external codelist attributes. If an intervention term
does not have a decode value in the dictionary then PRDECOD will be null.",Perm
PRCAT,Category,Char,*,Grouping Qualifier,Used to define a category of procedure values.,Perm
PRSCAT,Subcategory,Char,*,Grouping Qualifier,Used to define a further categorization of PRCAT values.,Perm
PRPRESP,Pre-specified,Char,(NY),Record Qualifier,"Used when a specific procedure is pre-specified on a CRF. Values
should be “Y” or null.",Perm
PROCCUR,Occurrence,Char,(NY),Record Qualifier,"Used to record whether a pre-specified procedure occurred when
information about the occurrence of a specific procedure is solicited.",Perm
PRINDC,Indication,Char,,Record Qualifier,"Denotes the indication for the procedure (e.g., why the procedure was
performed).",Perm
